wfpp,wikidata,label
https://wfpp.columbia.edu/person/diana-karenne/,Q453419,Diana Karenne
https://wfpp.columbia.edu/person/dolores-ehlers/,Q89043315,Dolores Ehlers
https://wfpp.columbia.edu/person/dorothea-baird/,Q3037149,Dorothea Baird
https://wfpp.columbia.edu/person/dorothea-donn-byrne/,Q98124697,Dorothea Donn-Byrne
https://wfpp.columbia.edu/person/dorothea-mitchell/,Q5298252,Dorothea Mitchell
https://wfpp.columbia.edu/person/dorothy-arzner/,Q447847,Dorothy Arzner
https://wfpp.columbia.edu/person/dorothy-davenport-reid/,Q2473293,Dorothy Davenport
https://wfpp.columbia.edu/person/dorothy-farnum/,Q5298411,Dorothy Farnum
https://wfpp.columbia.edu/person/dorothy-gordon/,,
https://wfpp.columbia.edu/person/dorothy-gottlieb/,,
https://wfpp.columbia.edu/person/dorothy-yost/,Q1250361,Dorothy Yost
https://wfpp.columbia.edu/person/dot-farley/,Q3037377,Dot Farley
https://wfpp.columbia.edu/person/drusilla-dunjee-houston/,Q18608902,Drusilla Dunjee Houston
https://wfpp.columbia.edu/person/edna-williams/,Q119520472,Edna Williams
https://wfpp.columbia.edu/person/elena-sanchez-valenzuela/,Q21010222,Elena Sánchez Valenzuela
https://wfpp.columbia.edu/person/eliane-tayar/,Q47490903,Éliane Tayar
https://wfpp.columbia.edu/person/elin-wagner/,,
https://wfpp.columbia.edu/person/elinor-glyn/,Q447240,Elinor Glyn
https://wfpp.columbia.edu/person/elisabeth-thuillier/,Q24661098,Elisabeth Thuillier
https://wfpp.columbia.edu/person/elizabeth-b-grimball/,Q89050627,Elizabeth B. Grimball
https://wfpp.columbia.edu/person/elizabeth-chevalier-pickett/,Q5363349,Elizabeth Pickett Chevalier
https://wfpp.columbia.edu/person/elizabeth-mcgaffey/,Q89053363,Elizabeth McGaffey
https://wfpp.columbia.edu/person/elizabeth-r-carpenter/,,
https://wfpp.columbia.edu/person/elizaveta-svilova/,Q4410713,Yelizaveta Ignatevna Svilova
https://wfpp.columbia.edu/person/elizaveta-thiemann/,,
https://wfpp.columbia.edu/person/ellen-omara-sullivan/,Q89052743,Ellen O'Mara Sullivan
https://wfpp.columbia.edu/person/eloyce-king-patrick-gist/,Q40332761,Eloyce King Patrick Gist
https://wfpp.columbia.edu/person/elsa-chauvel/,Q1333413,Elsa Chauvel
https://wfpp.columbia.edu/person/elsie-cohen/,,
https://wfpp.columbia.edu/person/elsie-jane-wilson/,Q5367595,Elsie Jane Wilson
https://wfpp.columbia.edu/person/elvira-giallanella/,Q16551769,Elvira Giallanella
https://wfpp.columbia.edu/person/elvira-notari/,Q2250723,Elvira Notari
https://wfpp.columbia.edu/person/emilia-saleny-2/,Q70873261,Emilia Saleny
https://wfpp.columbia.edu/person/emilie-sannom/,Q11309123,Emilie Sannom
https://wfpp.columbia.edu/person/emma-gendron/,Q57418902,Emma Gendron
https://wfpp.columbia.edu/person/encarnacion-rosa-scott/,Q73289940,Encarnacion Rosa Scott
https://wfpp.columbia.edu/person/enid-lorimer/,Q16010045,Enid Bosworth Lorimer
https://wfpp.columbia.edu/person/esfir-shub/,Q463767,Esfir Shub
https://wfpp.columbia.edu/person/eslanda-robeson/,Q5398352,Eslanda Goode Robeson
https://wfpp.columbia.edu/person/esterina-zuccarone/,Q89043330,Esterina Zuccarone
https://wfpp.columbia.edu/person/esther-eng/,Q10885254,Esther Eng
https://wfpp.columbia.edu/person/ethel-grandin/,Q3733728,Ethel Grandin
https://wfpp.columbia.edu/person/eugenie-magnus-ingleton/,Q29837660,Eugenie Magnus Ingleton
https://wfpp.columbia.edu/person/eva-nil/,Q10278393,Eva Nill
https://wfpp.columbia.edu/person/eve-unsell/,Q3061364,Eve Unsell
https://wfpp.columbia.edu/person/fabienne-fabreges/,Q19902257,Fabienne Fabrèges
https://wfpp.columbia.edu/person/fan-xuepeng/,Q65515138,Fan Xuepeng
https://wfpp.columbia.edu/person/fanchon-royer-2/,Q66606793,Fanchon Royer
https://wfpp.columbia.edu/person/fatma-begum/,,
https://wfpp.columbia.edu/person/fay-tincher/,Q5438943,Fay Tincher
https://wfpp.columbia.edu/person/fernanda-nissen/,Q4574062,Fernanda Nissen
https://wfpp.columbia.edu/person/flora-finch/,Q2070099,Flora Finch
